county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
50,1,3,2.0,2812,104108,2023,1000000
34,2,2,2.0,1499,3049,2018,489995
52,1,4,2.5,2709,8712,2023,669900
48,1,5,2.5,3340,8276,2011,610000
34,0,3,1.0,2842,436,2011,4500000
50,1,4,2.5,3100,13939,2002,999500
50,0,1,1.0,485,436,2003,179000
34,2,3,2.5,2182,1742,2011,480000
48,1,4,3.0,4476,9148,2021,690000
10,1,4,1.5,2295,7405,1958,525000
34,0,2,2.0,1206,436,2002,344899
34,1,4,1.0,1920,7841,1964,674900
48,1,3,1.0,1746,12197,1896,485000
50,1,3,2.5,2675,7405,2024,778300
10,1,5,2.0,2394,7405,1965,529000
10,2,2,1.5,1260,436,2001,330000
34,0,1,1.0,368,436,1919,229900
34,2,3,2.5,1495,2178,2005,339000
34,2,3,3.0,1801,436,2023,441465
34,1,5,1.0,1918,6970,1903,515000
4,1,3,1.0,2400,12632,1961,395000
2,1,4,3.0,1850,10454,1961,399900
48,1,5,3.5,6222,21780,2006,989000
34,1,5,3.5,4851,11761,1994,1399900
34,1,5,1.0,2268,9583,1975,520000
50,2,4,3.5,2638,1742,2023,2225000
48,1,4,2.5,5341,20473,2018,950000
52,1,4,2.5,2458,6098,2023,599990
48,2,3,2.5,1672,1742,2007,450000
46,1,5,1.0,3100,87120,1962,615000
52,1,2,2.0,1348,2178,2020,450000
48,1,5,3.0,2446,6970,2023,534900
10,1,3,2.0,2402,12632,1967,575000
52,1,5,5.0,5260,12632,2024,1099999
4,1,3,2.0,1772,5227,2003,409900
42,1,4,2.0,2602,424274,1982,1650000
48,2,3,2.5,1957,871,2022,410000
48,1,4,2.0,1800,6534,1949,439000
48,1,5,4.0,3452,228690,1994,1295000
34,1,6,3.5,2970,10890,1998,620000
44,1,4,2.0,1589,6098,2004,420000
56,1,4,2.0,1674,7405,1938,358000
56,1,5,3.0,2906,10454,2001,599900
50,0,2,2.0,1041,436,2020,399000
2,1,3,1.5,2232,9583,1960,375500
34,1,5,3.5,3975,9148,2012,709900
34,0,4,2.0,3140,436,1998,535000
34,1,6,3.5,3206,7841,2011,650000
48,1,7,3.5,5890,21344,1996,1497000
48,1,6,3.5,6935,15246,2006,1200000
34,1,5,3.0,1964,7841,2005,549900
20,1,3,2.0,1205,8712,1935,318500
10,1,4,2.0,1898,13068,1998,525000
34,1,4,3.0,3172,5663,2011,800000
34,1,4,3.0,3172,5663,2011,800000
10,1,3,2.0,1742,13939,1978,435000
34,0,2,2.0,1080,436,1985,315000
34,1,3,3.0,3024,10890,1977,599000
10,1,4,1.0,1658,10454,1998,430000
50,1,6,3.5,3833,6534,2015,775000
34,1,3,1.0,1176,6970,1954,410000
48,1,3,3.0,1939,3049,2024,497900
