county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Utah,Single Family,6.0,3.0,2996.0,6970.0,2008.0,669000.0
Davis,Single Family,4.0,2.5,1921.0,8712.0,2000.0,489000.0
Washington,Single Family,3.0,2.0,1401.0,39640.0,1992.0,499000.0
Salt Lake,Single Family,4.0,3.5,2671.0,12632.0,1952.0,810000.0
Utah,Townhouse,3.0,2.5,1472.0,871.0,2007.0,400000.0
Utah,Townhouse,3.0,2.5,2187.0,871.0,2024.0,399990.0
Washington,Single Family,4.0,2.0,2112.0,10019.0,1980.0,459900.0
Weber,Condo,2.0,1.5,1674.0,436.0,1985.0,299000.0
Davis,Single Family,3.0,1.5,2668.0,18295.0,1948.0,478000.0
Salt Lake,Single Family,4.0,1.0,1788.0,8712.0,1979.0,339900.0
Weber,Single Family,5.0,2.5,3161.0,29621.0,2016.0,948722.0
Utah,Townhouse,4.0,3.0,2020.0,1742.0,2000.0,425000.0
Wasatch,Townhouse,3.0,3.5,3031.0,871.0,2023.0,1895000.0
Weber,Single Family,4.0,1.0,1488.0,10890.0,1950.0,290000.0
Weber,Single Family,6.0,3.0,3147.0,8712.0,2000.0,500000.0
Wasatch,Single Family,4.0,6.0,5727.0,25265.0,2024.0,4750000.0
Salt Lake,Condo,2.0,2.0,1143.0,436.0,2005.0,359900.0
Davis,Townhouse,3.0,2.0,1628.0,1742.0,1998.0,329900.0
Salt Lake,Single Family,4.0,1.5,2408.0,21780.0,1965.0,512000.0
Weber,Townhouse,3.0,2.5,1296.0,3485.0,2003.0,320000.0
Cache,Single Family,6.0,2.5,3676.0,13068.0,2016.0,799900.0
Salt Lake,Single Family,5.0,2.0,1800.0,10454.0,1921.0,525000.0
Tooele,Single Family,4.0,1.0,1780.0,8276.0,1975.0,399500.0
Salt Lake,Single Family,4.0,1.0,2715.0,6970.0,1947.0,469900.0
Salt Lake,Single Family,5.0,2.0,4244.0,8712.0,1987.0,799900.0
Wasatch,Single Family,4.0,3.0,2620.0,11326.0,2000.0,625000.0
Utah,Townhouse,4.0,3.0,2224.0,871.0,2021.0,499990.0
Utah,Single Family,2.0,2.0,1362.0,4356.0,1939.0,395000.0
Davis,Single Family,3.0,2.5,1964.0,10890.0,2009.0,550000.0
Weber,Single Family,3.0,2.0,2144.0,73181.0,1994.0,693700.0
Salt Lake,Single Family,7.0,2.5,3727.0,15682.0,2019.0,797629.0
Utah,Single Family,4.0,3.0,5118.0,28750.0,2014.0,1390000.0
Washington,Single Family,3.0,2.5,1864.0,4356.0,2024.0,484990.0
Wasatch,Single Family,6.0,5.0,4797.0,43560.0,2022.0,2295000.0
Salt Lake,Single Family,5.0,3.5,5275.0,7405.0,2013.0,2150000.0
Salt Lake,Single Family,4.0,1.0,2798.0,5663.0,1978.0,655000.0
Washington,Single Family,4.0,2.5,2458.0,5663.0,2024.0,599990.0
Washington,Single Family,4.0,2.5,2458.0,6098.0,2023.0,599990.0
Washington,Townhouse,3.0,2.0,1314.0,871.0,2023.0,354990.0
Washington,Townhouse,3.0,2.5,1555.0,1307.0,2024.0,369990.0
Davis,Single Family,5.0,3.0,3300.0,13939.0,2004.0,684900.0
Cache,Single Family,5.0,3.0,2735.0,11326.0,2008.0,485000.0
Salt Lake,Single Family,3.0,1.0,2620.0,5663.0,1993.0,599999.0
Summit,Single Family,3.0,2.5,3578.0,256568.0,2019.0,1250000.0
Weber,Single Family,5.0,2.5,2620.0,16988.0,2012.0,630000.0
Summit,Single Family,4.0,4.5,5766.0,23087.0,2015.0,2599000.0
Summit,Single Family,4.0,4.5,5766.0,23087.0,2015.0,2599000.0
Salt Lake,Single Family,6.0,4.5,5362.0,21780.0,2000.0,1145000.0
Kane,Single Family,3.0,2.5,2502.0,29185.0,2003.0,890000.0
Iron,Single Family,4.0,2.0,2460.0,237838.0,1968.0,949000.0
Wasatch,Single Family,4.0,5.0,4447.0,29185.0,2024.0,5100000.0
Weber,Single Family,6.0,4.0,3920.0,3485.0,2007.0,835000.0
Washington,Single Family,3.0,2.5,1928.0,16553.0,1957.0,519000.0
Salt Lake,Condo,3.0,1.5,1823.0,436.0,2022.0,475000.0
Salt Lake,Single Family,7.0,3.5,4733.0,14375.0,2010.0,1049000.0
Cache,Single Family,3.0,3.0,3467.0,13068.0,1970.0,475000.0
Wasatch,Townhouse,3.0,3.0,3147.0,3920.0,2023.0,754000.0
Utah,Single Family,5.0,3.5,3698.0,12197.0,2021.0,899900.0
Wasatch,Single Family,4.0,3.5,4609.0,8924.0,2023.0,1220000.0
Wasatch,Single Family,3.0,3.0,2812.0,104108.0,2023.0,1000000.0
Wasatch,Single Family,3.0,2.0,2812.0,104108.0,2023.0,1000000.0
Salt Lake,Townhouse,2.0,2.0,1499.0,3049.0,2018.0,489995.0
