Actual,Predicted
925000,505276.9422452885
349500,331168.98947956366
439990,445592.3997867337
499900,464729.19358579704
535000,515805.2295806003
682000,673492.5892854279
1299000,1070615.4179075628
725000,816252.9841261039
695000,715955.554020293
650000,949005.2427888642
600000,511667.23116190144
750000,554068.4893515545
724900,463715.2712396762
475000,483636.67463262303
749000,929054.6749101705
629900,1660803.4263492841
450000,495349.7115459521
375000,373835.58055417374
454900,548384.1488903917
449900,453274.108634637
739000,881660.6200238646
1300000,1381195.6022973945
1165000,1678759.317548024
946900,815678.0282955972
500000,468123.4401720085
469000,454062.9849832283
569900,587938.6211790857
840000,664855.5981707767
725000,580746.5415251275
389900,456970.72743270145
764900,759458.9487441236
3850000,3410842.8758904794
525000,519276.2269483563
549000,638870.524575724
450000,434595.63134885713
515000,567410.9608410364
660000,778452.5842390822
225000,372430.08045450755
317000,401251.53219332494
570000,388648.48239580524
449900,424680.7534213729
479900,553468.0288991287
526500,580684.0684106265
6295000,4178214.979532773
419900,389498.95084258716
650000,528443.7454182635
579987,568057.6094499647
700000,555136.8892885246
5150000,4347997.005919659
515000,453682.3402918848
763900,758553.3567028851
560000,587832.0135866142
439900,517373.58046959573
370000,421866.67319815076
378900,365371.1363620726
340000,368266.59934660845
412000,435917.29715238896
1799000,1858566.867962244
1465000,1081378.6244317465
652000,489918.646458138
2550000,2380766.4368378534
6300000,6772082.565875523
349000,351376.213476535
589900,521814.9436595327
2995000,2295746.984816814
272500,214458.42073827703
725000,581676.821011386
415000,429427.50014376186
270000,287424.9276918577
540000,590068.3803701497
8495000,8794963.391316729
489900,504846.7159681061
579900,481252.258718671
600000,679089.1991735072
7800000,8261487.18982035
355000,874513.6159719139
949900,783311.8899261622
699000,791994.6631537899
439000,477162.3436671381
759999,708259.6516667067
395000,379636.4685168846
369900,442578.93160252273
1188359,1159507.5858067076
374000,353392.39920033177
616000,588953.5269981242
524910,589790.633650997
565000,606742.1401390998
639900,602273.8198475153
233500,305421.9712934563
585000,459365.61751561356
485000,426995.6309408149
630284,662181.8820909885
649900,593914.565971641
685716,812625.1806808606
554990,679807.9547831874
440047,463488.3867257847
659000,764745.7184423436
349900,324402.72394325794
700000,752204.4058100091
699000,672946.6667265152
350000,347910.15269312833
358900,394656.4157332502
447000,490191.11314577714
599000,551159.7287592437
499900,568365.8532343882
545000,552829.8376797527
307000,310653.85120000737
599900,600487.8323676143
1175000,1047268.7354455923
375000,392844.44166287367
379000,387290.7062006506
1899000,1071317.0391981357
495000,527099.5685184429
1150000,1010855.9049065075
469900,491367.07402922946
335000,393488.7296588023
430000,483636.67463262303
178900,437551.36129976006
515000,470740.839426176
839500,710932.2395704704
749000,1260077.8724458332
659900,523762.3780361438
275000,368595.5534156209
640000,543944.4282454164
498000,510407.5166581033
599900,659449.2771128359
369000,391144.6764422359
1249900,1152396.8558780253
564990,564243.5227914592
1195000,1470857.7385605725
1890000,3983789.896412523
599900,631259.8006184181
430000,537759.5041798672
474900,534527.6886548972
525000,567887.4230483657
499990,390375.22223342553
1960000,2289556.186715188
449900,447876.47698417696
459900,406161.97871261946
295000,219277.36666520176
615000,669651.9705046497
879000,866269.7656001872
599999,713848.266662036
499900,447678.73985125736
409900,383896.0797484817
815000,750870.0312495322
840000,919392.3992400628
724900,838002.8138631912
1295000,1227529.9034055744
369900,353392.39920033177
599900,639236.872910358
1280000,1655914.1084674785
534900,669956.9345887613
847900,753714.7795270534
4995000,4853930.182867084
698900,708769.2081939678
950000,1131650.7375907444
649900,669451.9983303476
228000,236886.88891957037
1674800,1313994.4200302714
329900,321976.0280232685
384888,390543.2133733212
214900,231377.13909242794
1099000,1065759.005776992
465000,479289.19423760613
549900,507290.17588313896
850000,690930.2667697513
799900,706832.5754135933
464900,471840.1009604057
6000000,5029610.228843601
440000,387173.7267616051
199999,205924.86874846992
439900,446531.6009197044
460000,434545.2704516088
435000,382043.66263299587
400000,410993.6548672235
650000,668742.6159889193
949500,910657.6340438601
460000,540121.1604971068
665000,689401.632096988
389900,387403.286490371
515000,507932.85244535306
370000,712603.1743237795
550000,537253.3692803587
675000,749363.9387198837
676900,909730.8716614608
449900,539545.9228747846
474000,439687.5953174094
280000,282108.5675967742
898800,849651.6693007066
850000,653341.7892932455
649900,703689.54214428
880000,452042.00517245353
425000,489945.46322456293
319900,297654.1336298397
565000,535452.3220729145
624900,564687.7922574896
425000,458354.3916701393
625000,621332.6941731032
755060,746013.9663755395
284900,321822.5498103452
332900,482117.3205399491
539900,570993.1414540439
550000,587066.7215225477
1250000,1066968.314711459
360000,363691.77735593094
450000,504325.200910422
324500,434498.1119884517
465000,452514.57156654564
299999,264582.7397457565
359999,310048.35650127014
499900,477627.51611327566
599999,622881.33850605
624900,658534.107252764
645000,650568.6143587243
369900,421866.67319815076
600000,632357.4588751922
462990,467519.9352534426
610900,697349.0697783516
629000,759734.1164865951
595000,535422.9098532476
650000,569142.0003687437
2000000,1412997.5426466737
729900,598944.638779502
310000,324231.65526796906
749900,735673.9660204242
675000,691343.196458558
859600,686486.5004916092
280000,301234.9403513925
650000,543944.4282454164
630000,487756.90418713837
370000,462896.56782995263
649000,1452956.0316585822
1100000,1049043.6105005303
339000,345559.64186229534
729000,753905.3620706538
384000,417657.0123200118
799900,700986.250416371
649990,625933.4515760181
1590000,1705337.7749831905
357000,420206.82418069
399900,534687.8362953793
349990,517430.9525831794
643900,640714.0139878942
879000,742065.3683956311
4249000,4144701.782140283
295000,332570.6085679684
500000,609191.6131838374
750000,2646313.179027125
8875000,7069060.389974262
627500,584643.2726175223
469900,477213.31813258183
2500000,1849010.692229982
1100000,908019.8468355467
699900,697685.4490650058
550000,590431.4866002391
454000,501332.81755692314
649000,676041.5558759618
370000,329240.23047631065
574900,599568.8030428258
549990,505360.67292091704
679900,961263.6180441702
963900,727848.4146675464
825000,677920.768837777
565000,514416.81545986835
610000,445789.94308729307
1050000,875235.9523795192
285000,276422.8142496892
571000,563675.5231046425
392000,398712.9538098824
329900,327889.5498647721
419900,544184.3764833596
475000,635163.5319647025
473000,578337.2472770187
450000,551686.3770131372
405000,384381.52523599495
665000,709839.557978429
714900,830476.5606297508
349900,383052.4271096395
679900,847926.9041379482
875000,558583.4789787927
775000,607677.5762522687
899000,656239.6703850667
430000,407347.48744982836
649000,917226.6764897298
499999,537016.4005681658
899900,1401168.1615406934
314900,207592.1495582921
2412000,2181690.7732573734
775000,877697.0455338776
300000,412267.0486778713
1450000,1331802.8714611216
427900,462297.4791623806
583900,789954.6198112405
479900,578786.9788395406
400000,418739.2555259323
249000,212058.46434558765
780000,1298490.022697866
644000,698407.2066529356
539900,441924.39669440285
495000,521065.01065566624
389000,359483.8245652339
614900,657867.7459696104
649000,634597.1818679967
239900,298859.48486457433
399000,441935.23215076886
289900,365381.8791203818
432000,423289.4610441824
864833,872874.2089327903
629990,594601.6513743171
580000,524479.4142608457
639999,1093955.092422547
255000,252667.20067109
409900,448370.50524207955
335000,420818.5536020469
389900,373410.8986498341
430000,503780.0953584136
699000,611829.5424519614
1250000,996936.3142672583
539900,834392.626250014
540000,670722.4132634418
454000,385248.9015817333
419900,447611.0214130331
529000,536132.6323322874
2300000,2011301.4276112658
450000,467802.58552190417
415000,325880.6374081793
444990,473439.5024648269
460000,399769.2466143378
690000,613702.6903830515
319000,330682.3628903241
7100000,6081348.873284828
469900,561439.9963280242
579900,541191.1459290225
690000,592177.9829085586
389000,333445.87940644583
554900,601513.3095884335
375000,440613.1788172382
459900,463306.9439421461
575000,552321.3624824077
504155,602311.0936567024
440000,493106.46292173094
523000,636025.8388802813
380000,416562.8848181882
1965000,1861414.2466143616
629900,649580.8307560122
600000,642578.1175547307
358900,414028.8845608124
415000,407144.7840096131
750000,571971.1464969863
424900,515895.14701917104
414000,372009.4066031195
599900,685501.2125773767
325000,349792.9491136379
699999,778291.9621663004
599900,682142.7525795602
699900,741716.5199921888
465000,365781.8538430402
369000,314935.9877720568
564900,519479.6094022365
1035000,762691.4804429654
320000,456670.03541303246
575000,537712.2521526768
480000,501073.7854009328
441350,449592.36368904024
3500000,1931455.6823844898
634900,605043.4879805604
945000,821300.2756572692
355000,370459.29418504634
395000,349307.7303062993
899000,884275.0295402696
535000,471069.985691357
659000,701953.6312351021
499900,463082.32897781563
469900,514627.8252930216
485000,551860.2887988347
285000,310855.51681839005
585000,518860.9681989849
609999,588146.8885998671
455900,490218.4526402195
363000,338237.27309954667
450000,552003.0608886316
499000,453468.69691790716
699900,730268.7990718873
1054000,670085.7546860011
